parsed,fishbase
Astronesthes lucifer,Astronesthes lucifer
Astronesthes macropogon,Astronesthes macropogon
Astronesthes micropogon,Astronesthes micropogon
Astronesthes neopogon,Astronesthes neopogon
Astronesthes niger,Astronesthes niger
Astronesthes richardsoni,Astronesthes richardsoni
Astronesthes,NA
Astronesthes trifibulatus,Astronesthes trifibulatus
Astronesthes xenostoma,NA
Astronesthidae,NA
Astroscopus guttatus,Astroscopus guttatus
Astroscopus,NA
Astroscopus y-graecum,Astroscopus y-graecum
Astyanax fasciatus,Astyanax fasciatus
Astyanax lacustris,Astyanax lacustris
Astyanax paranae,Astyanax paranae
Asymbolus parvus,Asymbolus parvus
Asymbolus vincenti,Asymbolus vincenti
Ateleopus japonicus,Ateleopus japonicus
Ateleopus purpureus,Ateleopus purpureus
Ateleopus,NA
Atelomycterus fasciatus,Atelomycterus fasciatus
Atheresthes evermanni,Atheresthes evermanni
Atheresthes stomias,Atheresthes stomias
Atherina boyeri,Atherina boyeri
Atherina presbyter,Atherina presbyter
Atherina,NA
Atherinidae,NA
Atherinomorus capricornensis,Atherinomorus lacunosus
Atherinomorus lacunosus,Atherinomorus lacunosus
Atherinomorus vaigiensis,Atherinomorus vaigiensis
Atlantoraja castelnaui,Atlantoraja castelnaui
Atlantoraja cyclophora,Atlantoraja cyclophora
Atlantoraja platana,Atlantoraja platana
Atrobucca brevis,Atrobucca brevis
Atrobucca nibe,Atrobucca nibe
Atropus atropos,Atropus atropos
Atrosalarias fuscus,Atrosalarias fuscus
Atrosalarias,NA
Atule mate,Atule mate
Atypichthys strigatus,Atypichthys strigatus
Auchenoceros punctatus,Auchenoceros punctatus
Aulohalaelurus labiosus,Aulohalaelurus labiosus
Aulopus purpurissatus,Latropiscis purpurissatus
Aulorhynchidae,NA
Aulorhynchus flavidus,Aulorhynchus flavidus
Aulostomus chinensis,Aulostomus chinensis
Aulostomus maculatus,Aulostomus maculatus
Aulotrachichthys prosthemius,Aulotrachichthys prosthemius
Austrolabrus maculatus,Austrolabrus maculatus
Austronibea oedogenys,Austronibea oedogenys
Auxis,NA
Auxis rochei,Auxis rochei
Auxis,NA
Auxis thazard,Auxis thazard
Avocettina infans,Avocettina infans
Avocettina paucipora,Avocettina paucipora
Avocettina,NA
Aygyropelecus hemigymnus,NA
Azurina,NA
Azygopus pinnifasciatus,Azygopus pinnifasciatus
Bagre marinus,Bagre marinus
Bairdiella chrysoura,Bairdiella chrysoura
Bairdiella chrysura,Bairdiella chrysoura
Bairdiella ronchus,Bairdiella ronchus
Bajacalifornia,NA
Bajacalifornia curtifrons,NA
Bajacalifornia drakei,Bajacalifornia megalops
Bajacalifornia macrops,NA
Bajacalifornia megalops,Bajacalifornia megalops
Bajacalifornia,NA
Balistapus undulatus,Balistapus undulatus
Balistes,NA
Balistes capriscus,Balistes capriscus
Balistes carolinensis,Balistes capriscus
Balistes polylepis,Balistes polylepis
Balistes,NA
Balistes vetula,Balistes vetula
Balistidae,NA
Balistidae,NA
Balistoides conspicillum,Balistoides conspicillum
Balistoides conspicullum,NA
Balistoides viridescens,Balistoides viridescens
Banjos banjos,Banjos banjos
Barathrites parri,Barathrites parri
Barathronus parfaiti,Barathronus parfaiti
Barathronus,NA
Barbantus curvifrons,Barbantus curvifrons
Barbatula barbatula,Barbatula barbatula
Bascanichthys bascanium,Bascanichthys bascanium
Bascanichthys kirkii,Bascanichthys kirkii
Bascanichthys scuticaris,Bascanichthys scuticaris
Bascanichthys,NA
Bassanago albescens,Bassanago albescens
Bassanago bulbiceps,Bassanago bulbiceps
Bassanago hirsutus,Bassanago hirsutus
Bassozetus taenia,Bassozetus taenia
Bathophilus,NA
Bathophilus abarbatus,Bathophilus abarbatus
Bathophilus brevis,Bathophilus brevis
Bathophilus chironema,Bathophilus pawneei
Bathophilus digitatus,Bathophilus digitatus
Bathophilus indicus,Bathophilus indicus
Bathophilus kingi,Bathophilus kingi
Bathophilus longipes,Bathophilus digitatus
Bathophilus longipinnis,Bathophilus longipinnis
Bathophilus longipinnus,NA
Bathophilus metalicus,NA
Bathophilus nigerrimus,Bathophilus nigerrimus
Bathophilus pawneei,Bathophilus pawneei
Bathophilus proximus,Bathophilus proximus
Bathophilus,NA
Bathophilus vaillanti,Bathophilus vaillanti
Bathyagonus alascanus,Bathyagonus alascanus
Bathyagonus infraspinatus,Bathyagonus infraspinatus
Bathyagonus nigripinnis,Bathyagonus nigripinnis
Bathyagonus pentacanthus,Bathyagonus pentacanthus
Bathyanthias roseus,Bathyanthias roseus
Bathyaploactis ornatissimus,Bathyaploactis ornatissima
Bathycallionymus bifilum,NA
Bathycallionymus kaianus,Bathycallionymus kaianus
Bathycongrus africanus,NA
Bathycongrus dubius,Bathycongrus dubius
Bathycongrus retrotinctus,Bathycongrus retrotinctus
